run_id,exit_code,elapsed_ms,robot_msgs,robot_ok,robot_nok,robot_latency_ms_p50,robot_latency_ms_p95,capture_total,capture_dropped,capture_drop_rate,capture_latency_avg_ms_mean,timeouts_detected,worker_restarts,python_restarts,geometry_restarts,all_restarts
1,0,11908.57,2,1,1,4.0,6.7,4,0,0.0,9.013,0,1,0,0,1
2,0,12073.19,2,1,1,4.5,7.65,4,0,0.0,11.226,0,1,0,0,1
3,0,11244.67,2,1,1,3.0,4.8,4,0,0.0,12.841,0,1,0,0,1
4,0,11953.27,2,1,1,3.0,4.8,4,0,0.0,11.689,0,1,0,0,1
5,0,11722.46,2,1,1,4.5,8.55,4,0,0.0,11.387,0,1,0,0,1
6,0,12602.48,2,1,1,5.5,9.55,4,0,0.0,14.506,0,1,0,0,1
7,0,11674.21,2,1,1,5.0,8.6,4,0,0.0,14.431,0,1,0,0,1
8,0,11680.49,2,1,1,3.0,5.7,4,0,0.0,10.849,0,1,0,0,1
9,0,11321.39,2,1,1,3.5,5.75,4,0,0.0,11.246,0,1,0,0,1
10,0,11250.29,2,1,1,4.0,7.6,4,0,0.0,14.106,0,1,0,0,1
11,0,11067.04,2,1,1,3.5,5.75,4,0,0.0,12.454,0,1,0,0,1
12,0,11480.77,2,1,1,4.5,5.85,4,0,0.0,13.676,0,1,0,0,1
13,0,11522.48,2,1,1,4.0,6.7,4,0,0.0,9.706,0,1,0,0,1
14,0,11680.75,2,1,1,3.5,6.65,4,0,0.0,10.558,0,1,0,0,1
15,0,11812.82,2,1,1,3.5,6.65,4,0,0.0,9.837,0,1,0,0,1
16,0,11783.9,2,1,1,4.5,7.65,4,0,0.0,13.611,0,1,0,0,1
17,0,11860.01,2,1,1,3.5,5.75,4,0,0.0,12.748,0,1,0,0,1
18,0,11356.51,2,1,1,3.5,5.75,4,0,0.0,12.222,0,1,0,0,1
19,0,11860.56,2,1,1,4.5,6.75,4,0,0.0,12.33,0,1,0,0,1
20,0,11799.52,2,1,1,7.0,13.3,4,0,0.0,11.346,0,1,0,0,1
